ID,Name,Concepticon_ID,Concepticon_Gloss,NorthEuraLex_Gloss,German,English,Russian
1_eye,eye,1248.0,EYE,Auge::N,Auge [[Anatomie]],eye [[anatomy]],глаз [[анатомия]]
2_ear,ear,1247.0,EAR,Ohr::N,Ohr [[Anatomie]],ear [[anatomy]],ухо [[анатомия]]
3_nose,nose,1221.0,NOSE,Nase::N,Nase [[Anatomie]],nose [[anatomy]],нос [[анатомия]]
4_mouth,mouth,674.0,MOUTH,Mund::N,Mund [[Anatomie]],mouth [[anatomy]],рот [[анатомия]]
5_tooth,tooth,1380.0,TOOTH,Zahn::N,Zahn [BSP:menschlicher Schneidezahn],tooth [EX:human incisor],зуб [НАПР:человека]
6_tongue,tongue,1205.0,TONGUE,Zunge::N,Zunge [[Anatomie]],tongue [[anatomy]],язык [орган в полости рта]
7_lip,lip,478.0,LIP,Lippe::N,Lippe [[Anatomie]],lip [[anatomy]],губа [[анатомия]]
8_cheek,cheek,1730.0,CHEEK,Wange::N,Wange [[Anatomie]],cheek [[anatomy]],щека [[анатомия]]
9_face,face,1560.0,FACE,Gesicht::N,Gesicht [des Menschen],face [of a human],лицо [человека]
10_forehead,forehead,123.0,FOREHEAD,Stirn::N,Stirn [des Menschen],forehead [of a human],лоб [человека]
11_hair,hair,1040.0,HAIR,Haar::N,Haar [Kopfhaar des Menschen],hair [of human head],волос [на голове человека]
12_moustache,moustache,1165.0,MOUSTACHE,Schnurrbart::N,Schnurrbart [eines Mannes],moustache [of a man],усы [мужчины]
13_beard,beard,678.0,BEARD,Bart::N,Bart [allgemein],beard [generic],борода [волосяной покров нижней части лица]
14_chin,chin,1510.0,CHIN,Kinn::N,Kinn [[Anatomie]],chin [[anatomy]],подбородок [[анатомия]]
15_jaw,jaw,798.0,JAW,Kiefer[Anatomie]::N,Kiefer [[Anatomie]],jaw [[anatomy]],челюсть [[анатомия]]
16_throat,throat,1346.0,THROAT,Kehle::N,Kehle [Hals von innen],throat [from inside],горло [НАПР:полоскать горло]
17_neck,neck,1333.0,NECK,Hals::N,"Hals [Hals von außen, rundum]",neck [from outside],шея [НАПР:бусы на шее]
18_nape,nape,1347.0,NAPE (OF NECK),Genick::N,Genick [hinter Teil des Halses],nape [back side of neck],затылок [задняя часть головы]
